image_path,description,x,y,feature
img/IMG_3119 Medium.png,I,"142, 149, 147, 140","276, 276, 303, 303",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,don't,"160, 186, 184, 158","277, 279, 307, 305",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,know,"205, 238, 236, 203","281, 283, 310, 308",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,if,"250, 269, 267, 248","284, 285, 312, 311",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,be,"96, 118, 117, 95","308, 309, 332, 331",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,albe,"149, 181, 180, 148","311, 313, 336, 334",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,to,"208, 216, 215, 207","314, 314, 336, 336",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,read,"234, 260, 259, 233","315, 316, 339, 338",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,scratch,"87, 154, 152, 85","324, 327, 368, 365",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,cand,"158, 213, 211, 156","327, 329, 370, 368",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,writing,"236, 274, 272, 234","330, 332, 372, 371",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,(,"286, 297, 295, 284","333, 333, 373, 373",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,I,"335, 346, 344, 333","335, 335, 375, 375",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,have,"354, 389, 387, 352","335, 336, 377, 376",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,to,"86, 99, 98, 85","355, 355, 377, 377",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,been,"105, 137, 136, 104","355, 356, 379, 378",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,written,"152, 194, 193, 151","357, 359, 382, 380",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,some,"213, 243, 242, 212","359, 360, 383, 382",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,error,"266, 299, 298, 265","361, 362, 385, 384",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,.,"300, 305, 304, 299","363, 363, 385, 385",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,Well,"312, 345, 344, 311","363, 364, 387, 386",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,that,"366, 391, 390, 365","365, 366, 388, 387",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,my,"279, 297, 298, 280","322, 321, 342, 343",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,chicken,"313, 362, 363, 314","320, 317, 339, 342",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,is,"66, 76, 76, 66","391, 391, 407, 407",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,pabalby,"99, 176, 176, 99","387, 386, 424, 425",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,enough,"183, 241, 241, 183","386, 385, 423, 424",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,for,"269, 289, 289, 269","385, 385, 423, 423",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,a,"297, 307, 307, 297","385, 385, 422, 422",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,demonstrating,"319, 398, 398, 319","384, 383, 421, 422",DOCUMENT_TEXT_DETECTION
img/IMG_3119 Medium.png,",","403, 412, 412, 403","384, 384, 421, 421",DOCUMENT_TEXT_DETECTION
